name,participant 1,participant 2,participant 3,participant 4,participant 5,total
ovaries estrogen,0,0,0,0,0,0
apollo music,0,0,0,0,0,0
bloodline mystery,0,0,0,0,0,0
chlorophyll green,0,0,0,0,0,0
gold malleable,0,0,0,0,0,0
bronze gear,0,0,0,0,0,0
barite glass,0,0,0,0,0,0
whale pod,0,0,0,0,0,0
antony cleopatra,0,0,0,0,0,0
stallion mare,0,0,0,0,0,0
ennui boredom,0,0,0,0,0,0
kakapo flightless,0,0,0,0,0,0
bodega wine,0,0,0,0,0,0
armenia yerevan,0,0,0,0,0,0
latvia lats,0,0,0,0,0,0
fiji fijian,0,0,0,0,0,0
nicaragua spanish,0,0,0,0,0,0
morocco berber,0,0,0,0,0,0
victoria africa,0,0,0,0,0,0
puka philippines,0,0,0,0,0,0
angiosperms maple,0,0,0,0,0,0
cinderella jackson,0,0,0,0,0,0
selfish compassion,0,0,0,0,0,0
corn husk,0,0,0,0,0,0
tyro inexperienced,0,0,0,0,0,0
red green,0,0,1,0,0,1
egg chick,0,0,0,1,0,1
dog kennel,0,0,0,1,0,1
hola spanish,0,1,0,0,0,1
chicken coop,0,0,0,1,0,1
tumor cancer,0,0,0,1,0,1
mobile battery,0,0,1,0,0,1
cheerleader squad,0,0,0,1,0,1
doctor orthodontist,0,0,0,1,0,1
germany euro,0,0,0,1,0,1
mountain range,0,1,0,0,0,1
happy content,0,0,1,0,0,1
wall room,0,0,0,1,0,1
glass clear,0,1,0,0,0,1
kilometer meter,0,1,0,0,0,1
carpenter saw,0,1,0,0,0,1
cat kitten,1,0,0,0,0,1
china shanghai,0,0,1,0,0,1
crack mirror,0,0,1,0,0,1
elephant ivory,0,0,1,0,0,1
paper wood,0,0,1,0,0,1
colonel army,0,1,0,0,0,1
hen cock,0,1,0,0,0,1
square cube,0,0,0,1,0,1
india modi,0,0,0,1,0,1
adroit adroitly,0,0,0,1,0,1
zippo lighter,0,1,0,0,0,1
slay dragon,0,0,0,1,0,1
physicist einstein,0,0,0,1,0,1
microsoft gates,0,1,0,0,0,1
gauck germany,0,1,0,0,0,1
hatchback cruze,0,0,1,0,0,1
volta battery,0,0,1,0,1,2
einstein relativity,0,1,1,0,0,2
paris eiffel,0,0,1,1,0,2
water flow,0,1,0,1,0,2
earthquake tsunami,1,0,0,1,0,2
shard glass,0,1,0,1,0,2
silk smooth,0,1,0,0,1,2
cloth detergent,1,0,0,1,0,2
music compose,0,1,1,0,0,2
map atlas,0,0,1,0,1,2
sweater knit,0,1,0,1,0,2
amphibian frog,0,1,0,1,0,2
car auto,0,0,1,1,0,2
bad terrible,0,0,1,0,1,2
rain umbrella,0,1,1,0,0,2
goat milk,0,1,1,0,0,2
bird wings,0,0,1,0,1,2
stethoscope doctor,1,0,1,0,0,2
keyboard finger,0,1,0,1,0,2
fireplace fire,0,1,0,0,1,2
lamp light,0,1,0,1,0,2
love hate,0,1,0,1,0,2
joke laughter,0,1,0,1,0,2
pinch pain,0,0,1,1,0,2
tennis racket,0,0,0,1,1,2
tailor cloth,0,1,0,1,0,2
hair comb,0,1,0,0,1,2
drawer handle,0,1,0,1,0,2
needle sew,0,1,0,1,0,2
hand finger,0,1,0,1,0,2
saturn titan,0,1,0,1,0,2
stomach digest,0,1,0,1,0,2
summer plums,0,1,0,1,0,2
mosquito repellant,0,1,0,1,0,2
summer cucumber,0,1,0,1,0,2
spiderman raimi,0,1,1,0,0,2
dim light,0,0,1,1,1,3
lemon sour,1,1,0,0,1,3
china chinese,0,1,1,0,1,3
lifejacket boat,1,0,0,1,1,3
eye see,0,1,1,0,1,3
bed sleep,0,0,1,1,1,3
fish swim,0,1,1,0,1,3
school teacher,0,1,1,0,1,3
keyboard type,1,0,1,1,0,3
london england,0,1,1,0,1,3
teacher teach,0,0,1,1,1,3
fire hot,0,0,1,1,1,3
engineer program,0,1,1,1,0,3
kitchen utensils,0,1,1,1,0,3
cup coffee,0,1,0,1,1,3
painter painting,0,1,0,1,1,3
cat meow,0,1,0,1,1,3
leg crutch,0,1,0,1,1,3
head helmet,0,1,0,1,1,3
north up,0,1,1,1,1,4
flowers vase,1,1,1,0,1,4
neck scarf,1,1,0,1,1,4
stairs ladder,1,0,1,1,1,4
policeman policewoman,1,1,0,1,1,4
window curtain,0,1,1,1,1,4
exercise gym,0,1,1,1,1,4
penny 1,1,1,1,0,1,4
music listen,1,1,1,0,1,4
jeans zipper,0,1,1,1,1,4
closet clothes,0,1,1,1,1,4
library books,1,1,1,1,1,5
floor building,1,1,1,1,1,5
mountains cool,1,1,1,1,1,5
easy easier,1,1,1,1,1,5
wise wiser,1,1,1,1,1,5
lick taste,1,1,1,1,1,5
letter word,1,1,1,1,1,5
saw cut,1,1,1,1,1,5
pencil write,1,1,1,1,1,5
clock time,1,1,1,1,1,5
pilot fly,1,1,1,1,1,5
chimney smoke,1,1,1,1,1,5
wool sheep,1,1,1,1,1,5
india delhi,1,1,1,1,1,5
england english,1,1,1,1,1,5
angry angrily,1,1,1,1,1,5
day week,1,1,1,1,1,5
good bad,1,1,1,1,1,5
camera photograph,1,1,1,1,1,5
row boat,1,1,1,1,1,5
whale ocean,1,1,1,1,1,5
pentagon five,1,1,1,1,1,5
chair wood,1,1,1,1,1,5
car road,1,1,1,1,1,5
city state,1,1,1,1,1,5
tired sleep,1,1,1,1,1,5
apple red,1,1,1,1,1,5
